state,age,sex,education,major,stayTime,rate,websiteName,activity,userID,predict
1,0.75,1,1,1,0.848013337,1,21,0.000607624,12475,1.801731042
1,0.75,1,1,0.636363636,0.990552931,0.995254048,21,0.001501189,14964,1.576781886
1,0.75,1,1,0.636363636,0.971658794,1,21,0.002934865,10430,1.564067376
1,0.75,1,1,0.636363636,0.92831342,1,21,0.000607624,80,1.518394762
1,0.75,1,1,0.909090909,0.649902751,1,21,0.001089488,7887,1.513193228
1,0.75,1,1,0.636363636,0.911364268,1,21,1.99E-05,16229,1.500857842
1,0.75,1,1,0.545454545,0.985551542,1,21,0.002114109,13675,1.486230277
1,0.75,1,1,0.545454545,0.957210336,1,21,0.002862056,10933,1.458637018
1,0.75,1,1,0.636363636,0.982772992,0.835236638,21,0.002302089,512,1.409785436
1,0.75,1,0.75,0.818181818,0.817032509,1,21,9.53E-05,365,1.338419721
1,1,1,1,0.454545455,0.998055015,0.669745312,21,0.000352131,16635,1.325807993
1,0.75,1,0.75,0.636363636,0.979994443,1,21,0.000820756,16835,1.320288916
1,0.5,1,1,0.636363636,0.973325924,1,21,0.0013794,16460,1.314179041
1,0.75,1,1,0.636363636,0.691580995,1,21,0.000649986,14030,1.281704698
1,0.75,1,0.75,1,0.562934148,1,21,0.003243311,13135,1.26928754
1,0.75,1,0.75,0.636363636,0.923034176,1,21,0.000144294,6251,1.262652187
1,0.75,1,1,0.636363636,0.662961934,1,21,0.00260921,8711,1.255044861
1,0.75,1,0.75,0.636363636,0.912753543,1,21,0.001877149,9352,1.254104408
1,0.5,1,1,1,0.62406224,0.905355833,21,0.003240663,16995,1.235768816
1,0.75,1,0.75,0.636363636,0.887468741,1,21,0.002268994,16074,1.229211452
1,0.75,1,1,0.818181818,0.444429008,1,21,6.88E-05,3974,1.215789744
1,0.75,1,0.5,1,0.759377605,1,21,0.001914215,299,1.214401901
1,0.5,1,1,0.545454545,0.958321756,1,21,0.001650779,15847,1.208537161
1,0.75,1,1,0.545454545,0.959988886,0.745744374,21,0.00283558,7083,1.207133466
1,0.75,1,0.75,0.545454545,0.965545985,0.985536018,21,0.004846433,9957,1.204493062
1,0.75,1,1,0.818181818,0.943317588,0.464495827,21,0.002315327,10757,1.181420641
1,0.5,1,0.5,1,0.968324535,1,21,0.004880851,9110,1.176315467
1,0.75,1,1,0.636363636,0.559877744,1,21,0.001411171,17035,1.150762632
1,0.75,1,1,0.636363636,0.554876355,1,21,0.000818109,618,1.14516818
1,0.75,1,1,0.636363636,0.54848569,1,21,0.006155671,17495,1.144115078
1,0.75,1,0.5,0.818181818,0.86329536,1,21,0.003841668,13930,1.138428927
1,1,0.5,0.5,1,0.92775771,1,21,0.000390521,14475,1.131258312
1,0.75,1,0.75,0.636363636,0.79160878,1,21,2.65E-06,7114,1.131085145
1,0.75,1,1,0.545454545,0.942900806,0.675805908,21,0.003608679,136,1.120880019
1,0.75,1,1,0.545454545,0.615448736,1,21,0.001461475,16550,1.115474837
1,0.75,1,0.5,0.818181818,0.841344818,1,21,0.001408523,8216,1.11404524
1,0.75,1,0.75,1,0.618921923,0.780792764,21,0.007091598,4242,1.109916365
1,0.75,1,0.75,0.636363636,0.748541261,1,21,0.018081787,7848,1.106096765
1,0.75,1,0.75,0.545454545,0.847457627,1,21,0.004769652,14969,1.100791905
1,0.75,1,1,0.636363636,0.500138927,1,21,0.008498797,14054,1.098111442
1,0.75,1,0.75,0.636363636,0.897749375,0.856120827,21,0.001047126,15583,1.094391045
1,0.75,1,0.75,0.545454545,0.983884412,0.855107462,21,0.004163352,6981,1.091719852
1,0.75,1,0.5,0.636363636,0.998610725,1,21,0.000702938,13413,1.08878738
1,0.75,1,0.75,0.545454545,0.831064184,1,21,0.008620587,17062,1.088249398
1,0.75,1,0.5,0.636363636,0.993053626,1,21,0.002500659,13808,1.085028002
1,0.75,1,1,0.909090909,0.738260628,0.4807987,21,0.001874501,13387,1.083134819
1,0.75,1,1,0.272727273,0.856071131,1,21,0.000920041,11598,1.082828525
1,0.5,1,0.75,0.636363636,0.989719366,1,21,7.28E-05,5291,1.079265893
1,0.75,1,0.75,0.909090909,0.808557933,0.656087709,21,0.000991526,10491,1.077838158
1,0.75,1,0.5,0.636363636,0.981105863,1,21,0.006135814,7609,1.076715394
1,0.75,1,0.75,0.545454545,0.811336482,1,21,0.004270579,4833,1.064171688
1,0.75,1,0.75,0.363636364,0.991942206,1,21,0.005259458,12857,1.063948109
1,0.75,1,1,0.545454545,0.558488469,1,21,0.001996291,14425,1.059049386
1,0.75,1,1,0.545454545,0.552653515,1,21,0.007157788,12211,1.058375929
1,0.75,1,0.75,0.545454545,0.802167269,1,21,0.00514164,12867,1.055873535
1,0.75,1,0.75,0.545454545,0.797165879,1,21,0.007091598,12884,1.052822103
1,0.75,1,0.75,0.545454545,0.983606557,0.817177743,21,0.001976434,9134,1.05132536
1,0.75,1,0.75,0.636363636,0.910252848,0.788074016,21,0.008574254,16285,1.046374835
1,0.75,1,0.5,0.636363636,0.951097527,1,21,0.001460152,6832,1.042031396
1,0.75,1,0.5,0.636363636,0.949152542,1,21,0.003116226,8318,1.041742485
1,0.75,1,1,0.818181818,0.260072242,1,21,0.007091598,10002,1.038455739
1,0.75,1,0.5,0.636363636,0.936926924,1,21,0.000563939,15627,1.02696458
1,0.75,1,1,0.545454545,0.846068352,0.669823789,21,0.006375422,7714,1.020832189
1,1,1,0.5,0.636363636,0.846346207,0.831669634,21,1.59E-05,4216,1.017505444
1,0.5,1,0.75,0.818181818,0.746040567,1,21,6.62E-06,1467,1.017339085
1,0.5,1,0.75,0.545454545,0.991664351,1,21,0.022643603,2405,1.01287258
1,0.75,1,0.75,0.363636364,0.940539039,1,21,0.003136083,10261,1.010421566
1,0.75,1,0.75,0.909090909,0.881078077,0.516762649,21,0.00022637,5818,1.010268086
1,0.75,1,0.5,0.545454545,0.99666574,1,21,0.003492185,15599,0.998722552
1,0.75,1,1,0.545454545,0.936093359,0.548955994,21,0.006386012,10033,0.989999992
1,0.75,1,0.5,0.636363636,0.89691581,1,21,0.003519985,7001,0.989909512
1,0.5,1,0.75,0.545454545,0.989719366,1,21,0.000656605,16878,0.988940597
1,0.75,1,0.5,0.636363636,0.893303695,1,21,0.006056386,17481,0.988833798
1,0.75,1,0.75,0.636363636,0.827174215,0.810958157,21,0.007091598,6923,0.984697687
1,0.75,1,0.75,0.636363636,0.631286468,1,21,0.011539566,12645,0.982299752
1,0.75,1,0.5,0.545454545,0.976382328,1,21,0.0040548,14857,0.979001755
1,0.75,1,0.5,0.636363636,0.878994165,1,21,0.004839814,757,0.973307696
1,0.5,1,0.75,0.636363636,0.878855238,1,21,0.003808573,17377,0.972137528
1,0.75,1,0.75,0.636363636,0.61961656,1,21,0.000528196,15941,0.959618473
1,0.75,0.5,0.75,0.909090909,0.844123368,1,21,0.001927453,11351,0.95825181
1,0.75,1,1,0.454545455,0.537093637,1,21,0.004649186,6060,0.949398359
1,0.75,1,0.5,0.636363636,0.851347597,1,21,0.002781304,15680,0.943602618
1,0.5,1,0.75,0.818181818,0.99833287,0.672283067,21,0.001446914,13459,0.94335475
1,0.75,1,0.5,0.909090909,0.578216171,1,21,0.000131056,13961,0.940548217
1,0.5,1,0.75,0.636363636,0.836621284,1,21,0.007091598,9449,0.933186598
1,0.75,1,1,0.636363636,0.340928036,1,21,0.000255493,11202,0.930657246
1,0.75,1,0.75,0.545454545,0.844956932,0.82101062,21,0.015833974,17410,0.930366153
1,0.75,1,0.75,0.545454545,0.681578216,1,21,0.000146942,12887,0.930289784
